company,source_type,title,url,date,domain,stage,key_contribution,key_metrics,methods,tradeoffs,notes
Stanford HAI,report,"AI Index Report 2024",https://aiindex.stanford.edu/report/,2024-04,llm,market-analysis,"Stanford HAI annual report documents explosive growth in AI investment ($67B private AI investment in 2023); rising demand for AI talent across all sectors. Key finding: AI-related job postings grew while overall tech postings declined.","$67B private AI investment 2023; AI job postings up even as tech hiring fell","Survey of industry; academia; policy","Report is backward-looking (2023 data); may not capture 2024 correction signals","Gold-standard annual overview; 2025 edition expected April 2025"
Levels.fyi,report,"AI/ML Engineer Compensation Data — Major Tech + AI Labs",https://www.levels.fyi/t/artificial-intelligence-engineer,2024-2025,llm,compensation,"Compensation data shows AI/ML engineers at frontier labs earning $300K-$900K+ total comp. Senior research scientists at OpenAI/Anthropic reported $500K-$1M+. Significant premium over general SWE.","Median TC $250-400K mid-level; $500K-900K+ senior at top labs","Self-reported compensation data","Self-reported bias; equity valuations at startups illiquid; survivorship bias","LLM specialists command 30-80% premium over equivalent-level general ML roles"
a16z,blog,"Who Owns the Generative AI Platform?",https://a16z.com/who-owns-the-generative-ai-platform/,2024-01,llm,market-analysis,"a16z analysis argues GenAI stack consolidating into model providers; orchestration/infra; and applications. Middle layer (fine-tuning; RAG; orchestration) most at risk of commoditization; while model training and novel apps retain high value.","N/A","Market analysis; startup portfolio data","VC perspective may overweight startup opportunities","Critical framework for understanding which LLM skills retain value"
Chip Huyen,blog,"GenAI Platform / Building LLM Applications for Production",https://huyenchip.com/2024/07/25/genai-platform.html,2024-07,llm,expert-commentary,"Chip Huyen analysis of GenAI platform stack. Argues LLM engineering is becoming a legitimate discipline distinct from traditional ML with its own best practices. Notes tooling ecosystem is immature and rapidly changing — creating both opportunity and churn risk.","N/A","Technical analysis; industry observation","Written from tooling/platform perspective","Huyen is author of Designing ML Systems; highly respected practitioner voice"
Google DeepMind,blog,"Gemini and the Future of AI at Google",https://deepmind.google/technologies/gemini/,2024-2025,llm,investment-signal,"Google DeepMind consolidation and massive Gemini investment signals long-term commitment. Hiring for multimodal ML; inference at scale; safety; and on-device deployment. Gemini integration across Search; Cloud; Workspace shows enterprise demand.","Gemini Ultra/Pro/Nano product line; Cloud AI revenue $33B+ run rate","Multimodal pretraining; distillation; on-device inference","Google bureaucracy vs startup speed; but unmatched scale and distribution","DeepMind roles increasingly production-focused not just research"
Meta FAIR,blog,"Meta AI — Open Source LLM Strategy (Llama 3/4)",https://ai.meta.com/llama/,2024-2025,llm,investment-signal,"Meta open-source Llama strategy creates massive ecosystem demand for fine-tuning; deployment; and optimization engineers. Meta hiring for pretraining at scale; inference optimization; and AI product integration.","Llama 3 405B largest open model; billions of downloads; 350K+ H100 GPU cluster","Open-weight models; massive GPU clusters","Open source commoditizes base models but creates infra/deployment demand","Meta strategy uniquely boosts demand for deployment and optimization engineers"
Latent Space (swyx + Alessio),blog,"The 2024 AI Engineer Survey / State of AI Engineering",https://www.latentspace.fm/p/2024-survey,2024-12,llm,market-analysis,"Annual survey of AI engineers showing rapid growth in AI Engineer as distinct role. Most AI engineers come from SWE backgrounds; demand for RAG/agents/eval skills surging; prompt engineering alone insufficient.","1000+ respondents; 70%+ from SWE background","Industry survey","Self-selected audience; skews toward early adopters","Valuable ground-level signal on what AI engineering actually looks like in practice"
Epoch AI,report,"Trends in Machine Learning Compute",https://epochai.org/trends-in-machine-learning-compute,2024-2025,llm,research,"Epoch AI tracks compute trends showing training compute growing 4-5x/year for frontier models. Engineering challenges of training/serving intensifying not simplifying — driving sustained demand for systems-level ML engineers.","Training compute doubling every ~6 months for frontier models","Empirical analysis of published models","Compute trends may slow if scaling laws plateau","Strongest evidence that ML systems engineering demand will persist"
Elad Gil,blog,"AI Startup Landscape and Talent Market 2024",https://blog.eladgil.com/,2024,llm,expert-commentary,"Silicon Valley investor Elad Gil notes AI talent is the scarcest resource with bidding wars between frontier labs and startups. Argues talent shortage is structural (few people can train frontier models) and will persist for years.","N/A","Market observation; investor perspective","Investor bias toward optimism about AI market","Useful signal on talent scarcity dynamics and compensation inflation"
xAI,blog,"xAI — Grok and the Memphis Supercluster",https://x.ai/,2024-2025,llm,investment-signal,"xAI built largest single training cluster (100K H100 GPUs) in under a year. Aggressively hiring ML engineers for pretraining; inference; and systems. New entrants continue pouring capital into LLM training.","100K H100 GPU cluster; Grok-2 model","Massive-scale pretraining; custom infrastructure","High-risk startup with unconventional management; but real compute investment","New lab entrant expanding total demand for frontier ML talent"
Mistral AI,blog,"Mistral AI — European Foundation Model Lab",https://mistral.ai/,2024-2025,llm,investment-signal,"European frontier lab raised EUR 600M+. Hiring across pretraining; fine-tuning; inference optimization; enterprise deployment. LLM talent demand is global not just US-centric. Focus on efficient models creates demand for efficiency-focused engineers.","EUR 600M+ raised; Mixtral 8x7B competitive with larger models","Mixture of Experts; efficient inference","European compensation typically lower than US but growing","Diversifies geographic options for LLM careers"
Meta,blog,"Meta's Generative Ads Model (GEM)",https://engineering.fb.com/2025/11/10/ml-applications/metas-generative-ads-model-gem-the-central-brain-accelerating-ads-recommendation-ai-innovation/,2025-11-10,ads,ranking,"Largest ads foundation model at LLM scale; unified cross-platform ranking for FB+IG","5% IG ad conversions lift; 3% FB Feed lift; 4x more efficient than prior models; 23x training FLOPS increase","InterFormer attention; multi-domain learning; knowledge distillation; HSDP training","massive compute cost vs efficiency gains; unified vs specialized models","Verified. Strongest signal that ads ML IS foundation model work now"
Meta,blog,"Meta Adaptive Ranking Model (ARM)",https://engineering.fb.com/2026/03/31/ml-applications/meta-adaptive-ranking-model-bending-the-inference-scaling-curve-to-serve-llm-scale-models-for-ads/,2026-03-31,ads,ranking-serving,"Serving trillion-parameter ads models with dynamic inference routing; solves the inference trilemma","O(1T) parameters; ~100ms latency; 35% model FLOPs utilization","request-oriented computation; FP8 quantization; multi-GPU sharding; hardware-aware kernels","model complexity vs latency vs cost tradeoff","Verified. Ads ranking now rivals LLMs in architectural complexity"
Meta,blog,"Ranking Engineer Agent (REA)",https://engineering.fb.com/2026/03/17/developer-tools/ranking-engineer-agent-rea-autonomous-ai-system-accelerating-meta-ads-ranking-innovation/,2026-03-17,ads,experimentation,"Autonomous AI agent managing full ML lifecycle for ads ranking; hibernate-and-wake for multi-week workflows","2x model accuracy improvement; 5x engineering output (3 engineers → 8 models)","LLM-based hypothesis generation; three-phase planning; autonomous experiment execution","shifts engineer role from execution to strategic oversight","Verified. AI agents augmenting not replacing ads ML engineers"
Meta,blog,"KernelEvolve: Agentic Kernel Optimization",https://engineering.fb.com/2026/04/02/developer-tools/kernelevolve-how-metas-ranking-engineer-agent-optimizes-ai-infrastructure/,2026-04-02,ads,infra-serving,"Automated hardware-specific kernel generation across GPU/MTIA; compresses weeks of optimization to hours","60% inference throughput improvement (GPU); 25% training throughput improvement (MTIA); 100% correctness","LLM-generated kernels; structured search; distributed profiling","automation of low-level systems work; reduces need for manual kernel engineers","Verified. AI automating the infrastructure layer of ads ML"
Meta,blog,"Sequence Learning for Personalized Ads",https://engineering.fb.com/2024/11/19/data-infrastructure/sequence-learning-personalized-ads-recommendations/,2024-11-19,ads,ranking,"Paradigm shift from hand-crafted features to sequential user event modeling; transformer attention on user behavior","2-4% more conversions on select segments","Event-Based Features; transformer sequence model; Jagged Flash Attention; GPU kernel optimization","mirrors NLP techniques — treating user events like word tokens","Verified. Ads ranking adopting NLP/LLM paradigms directly"
Meta,blog,"Meta Andromeda: Next-Gen Ads Retrieval",https://engineering.fb.com/2024/12/02/production-engineering/meta-andromeda-advantage-automation-next-gen-personalized-ads-retrieval-engine/,2024-12-02,ads,retrieval,"Deep neural retrieval on Grace Hopper Superchip; processes 3 orders of magnitude more candidates","+6% recall; +8% ads quality; 3x QPS; 100x feature extraction speedup; 10000x model capacity increase","hierarchical indexing; model elasticity; Grace Hopper GPU optimization","massive GPU investment for retrieval stage; hardware-specific optimization","Verified. Ads retrieval becoming a GPU-first deep learning problem"
Meta,paper,"Actions Speak Louder than Words: Trillion-Parameter Sequential Transducers for Generative Recommendations (HSTU)",https://arxiv.org/abs/2402.17152,2024-02-27,ads-recsys,ranking,"Generative recommendations via sequential transduction; HSTU architecture at 1.5T parameters","65.8% NDCG improvement; 5.3-15.2x faster than FlashAttention2; 12.4% online A/B improvement; power-law scaling","generative sequential transducer; autoregressive recommendation; power-law compute scaling","massive compute; blurs boundary between LLM and recsys work entirely","Verified (arxiv). THE landmark paper for ads/recsys + LLM convergence"
Sequoia Capital,report,"AI's $600B Question",https://www.sequoiacap.com/article/ais-600b-question/,2024-06,llm,market-analysis,"Revenue gap: $600B+ AI infra spend vs ~$100B revenue. GPU oversupply easing. OpenAI dominates at $3.4B. Warns against 'get rich quick' AGI thinking.","$600B infra spend vs ~$100B revenue; OpenAI $3.4B annualized","financial gap analysis","deliberately provocative; actual correction may be milder","Verified. Key bear-case for LLM career risk — if revenue doesn't materialize correction hits hiring"
